time,F3(gamma),FC5(gamma),AF3(gamma),F7(gamma),T7(gamma),P7(gamma),O1(gamma),O2(gamma),P8(gamma),T8(gamma),F8(gamma),AF4(gamma),FC6(gamma),F4(gamma),F3(beta),FC5(beta),AF3(beta),F7(beta),T7(beta),P7(beta),O1(beta),O2(beta),P8(beta),T8(beta),F8(beta),AF4(beta),FC6(beta),F4(beta),F3(alpha),FC5(alpha),AF3(alpha),F7(alpha),T7(alpha),P7(alpha),O1(alpha),O2(alpha),P8(alpha),T8(alpha),F8(alpha),AF4(alpha),FC6(alpha),F4(alpha),F3(theta),FC5(theta),AF3(theta),F7(theta),T7(theta),P7(theta),O1(theta),O2(theta),P8(theta),T8(theta),F8(theta),AF4(theta),FC6(theta),F4(theta),F3(delta),FC5(delta),AF3(delta),F7(delta),T7(delta),P7(delta),O1(delta),O2(delta),P8(delta),T8(delta),F8(delta),AF4(delta),FC6(delta),F4(delta)
2.5,1972.566911,316.039865,1628.121376,611.3613507,713.734256,412.4011493,892.3138009,1674.705614,707.8651359,873.9126649,981.7856635,716.6778774,482.0771148,1216.898741,794.5020258,175.4594638,672.3717768,286.3037271,216.8576948,124.4148962,511.3512617,474.7517823,172.2526089,302.6806484,395.021659,257.2725433,388.523482,458.6454476,502.5329811,97.86165058,473.6729908,256.6429944,319.7953176,97.35068788,382.8136268,220.375686,542.7155571,644.5290141,256.8978661,294.2378993,186.7382703,378.7450072,1900.145575,269.1456027,1451.328227,523.2724405,493.5427638,551.2594793,398.6536603,561.3423162,811.4674862,821.0742218,950.5284667,767.4692238,353.9506236,1092.454757,40883.964,15271.412,16882.616,40230.831,43106.764,7075.616,95279.79,22957.504,17780.091,3390.21,4425.827,25904.016,6405.761,4059.096
2.75,545.6091546,735.4175255,438.249014,729.8646132,1168.626479,491.0807696,1159.297147,885.2272917,867.5971352,1475.446806,449.4165952,422.8295281,636.9510422,299.2536085,312.3808517,236.9823761,305.7612988,277.8909658,463.5427869,199.6756445,339.533017,269.1059072,388.9240212,666.6596571,157.0472457,289.3721147,253.6900664,148.4750073,129.77628,340.0174479,275.017956,220.0196511,326.613016,136.0138342,155.6377954,236.3669194,128.2128307,319.8859104,76.53447751,72.6370519,110.3031925,108.1708715,1575.32521,575.2640672,556.5447328,1135.340863,1439.331066,818.0316603,259.6319249,188.0541809,930.8126418,1781.167363,397.3607971,121.6937878,456.6301034,235.0421185,36705.964,17737.412,22356.616,45531.831,48505.764,9869.616,95425.79,26837.504,13818.091,9217.21,5392.827,28279.016,6728.761,8004.096
3,1094.022205,1272.362315,500.0529929,519.9213659,453.096743,2316.876215,1041.652336,1217.579355,1095.842076,604.1012218,1017.742594,483.1545767,1118.687136,631.4406858,530.7171374,449.2881603,279.8807662,122.1628905,266.8734345,688.3158143,318.2500007,375.9765649,224.3831534,167.9722492,217.3890179,337.8722679,295.9315891,452.5713412,752.9019337,344.5481367,197.8650999,347.9872535,258.6682409,886.7927288,292.3379488,209.4355528,526.395328,377.933063,612.4882293,242.9513228,596.2440834,357.3793897,2494.831606,1464.419012,990.987823,488.4744882,501.8349874,2848.333286,1124.628504,690.8494712,853.951904,646.0617013,1157.361531,1334.341395,960.9844166,1468.540779,35921.964,25159.412,23424.616,44334.831,56113.764,5539.616,91698.79,28646.504,14921.091,12310.21,9045.827,29724.016,10203.761,10196.096
3.25,1966.276477,357.4257407,885.558904,630.3280901,467.7100954,440.6400204,905.9468452,1131.003187,606.3510036,374.1519612,756.4437087,1053.704139,367.5806175,1065.069355,968.8330004,124.6611904,387.5549519,253.3715056,242.918574,154.33609,424.3752027,345.372874,331.0251442,190.4729364,377.810589,415.882459,241.2763386,428.4366756,1331.49389,120.894827,475.5445459,327.1955576,160.1066369,199.8827616,288.474063,330.6966373,208.2772,207.4037957,407.723889,476.3973313,239.7360255,681.8766229,2465.646729,326.3926203,700.3563197,715.1560788,553.1143468,734.7140324,1248.948982,855.4157908,737.8536657,664.0464683,1126.505829,643.7032757,572.5860626,1183.931667,19066.964,28242.412,30200.616,42904.831,53743.764,3745.384,85544.79,31322.504,18805.091,11042.21,14171.827,36509.016,14167.761,19090.096
3.5,2071.790764,465.9673892,468.1719122,857.9077878,782.9580736,455.0962084,1133.973965,1796.558872,579.2221135,715.619121,590.9931661,512.6774226,594.243424,1132.430776,824.2710962,303.7398279,246.0805203,333.2573019,461.7809388,314.3616105,946.3974526,507.959722,221.4778757,245.4986682,282.4612134,319.2428688,244.032068,508.2144041,416.6061688,61.04233184,190.3411584,457.4595376,242.540038,24.99045186,248.7715031,128.407137,253.8287151,222.6250945,336.2226698,202.3708709,201.0916946,386.9385957,5708.381082,773.0494824,1244.580917,1789.414864,1232.107287,816.6286285,184.2076612,799.2571709,382.3166163,657.5688402,201.3057788,1482.009696,467.4892689,3264.906897,25049.964,27811.412,31302.616,40484.831,57221.764,1398.384,85246.79,27144.504,16882.091,13669.21,16485.827,37760.016,11341.761,16581.096
3.75,759.3401815,559.540512,513.5088888,721.1045235,941.3620843,830.9077638,1119.477993,1137.081076,751.8656368,663.4764227,652.2218695,712.2617434,774.9827853,525.9074351,324.3313029,167.2546751,209.8494063,65.7840845,223.4920657,279.7798601,373.4363886,934.7859216,281.9120154,246.514548,245.6928912,187.3109896,237.666334,169.0470956,882.9164404,289.6484535,446.2891313,343.1825875,394.3683524,240.4008033,114.8626592,290.0749639,382.276099,465.4672448,614.521566,665.9865363,512.8613664,665.5417677,989.2618463,566.540012,110.5122252,765.6707368,917.977978,846.8634298,550.8282752,824.837863,336.3857622,1216.268021,1039.836625,556.641356,911.7003669,417.7692006,15833.964,25937.412,35581.616,42328.831,57698.764,533.616,86813.79,24478.504,18865.091,14851.21,19111.827,41729.016,12273.761,21689.096
4,1134.162382,334.0990455,452.0862231,727.382481,1278.23593,772.0625508,1181.79474,1072.315128,741.3633788,1082.127035,1301.339888,540.0403402,1044.738591,623.6035835,594.1118955,144.7577894,171.466778,223.330564,440.0337575,220.5447813,294.807256,597.2671495,241.9948945,625.7043787,569.8108141,217.9961817,500.4367604,266.3383564,1268.193505,18.72201762,348.2254979,203.1813749,347.8676783,154.3080158,387.6828833,199.0548788,283.7984796,343.7185861,547.7313676,359.6431893,364.1937041,644.1577191,4568.034824,143.5164354,1484.008406,468.3234432,1833.743178,895.2130026,707.7067637,716.9668743,395.8153947,996.2319215,1169.152359,1672.273625,839.8834348,2634.562643,37478.964,25591.412,28944.616,47110.831,66479.764,5669.616,91646.79,18707.504,18167.091,21578.21,13836.827,35686.016,6747.761,10391.096
4.25,2937.981498,617.2475367,685.8074518,1365.745505,642.9567571,879.071007,1312.712624,1107.229996,1185.119708,1648.286656,1652.639678,565.5865735,1418.959315,1345.849541,988.2537848,91.49158872,160.6047502,415.2834328,265.2655567,161.5271911,485.5288822,184.5325855,415.1284318,674.5919381,696.482539,163.8836238,603.0940158,435.1262668,1054.419935,212.3536512,195.443021,543.5465379,103.4440332,237.843991,222.6194767,80.86521108,76.30416165,168.2527417,191.3721408,287.7205557,167.4661539,560.6391384,2789.808249,188.8896163,1067.539186,2546.672226,553.1575156,636.8824517,767.8594946,963.5671762,816.1009696,1404.695017,2031.810983,1188.818635,1611.812128,1534.42268,25535.964,24430.412,30913.616,51319.831,66973.764,4551.616,90249.79,20145.504,21345.091,19361.21,13454.827,35982.016,8354.761,17190.096
4.5,564.0352902,548.4611843,425.9632587,629.5203281,522.6093006,402.0517718,1938.972569,999.8907987,1472.943458,1524.263622,1166.380651,495.4989808,1914.994652,435.6414144,167.2258786,54.06614618,41.37070738,231.5666552,229.7726501,248.696798,273.8684303,743.1312298,555.9329624,522.6410467,257.6615742,147.6135004,355.047836,265.3057289,384.5349825,207.9838596,254.2342326,484.5961909,226.7139195,89.55387419,432.6014761,536.5641339,215.9751618,138.6067612,341.1803612,312.5026925,485.4967494,270.4944895,936.3281757,572.9581798,496.1440557,1105.919469,341.4560489,530.1972543,691.6557068,1052.845361,892.3949747,683.7496206,272.3661821,427.9150945,691.1281959,437.2352794,13605.964,24222.412,34223.616,55040.831,65916.764,2631.616,90024.79,19708.504,19372.091,19712.21,16179.827,39439.016,8479.761,24377.096
4.75,1767.85788,707.1488156,638.7497924,811.0691997,864.6650236,796.7390596,1601.70083,1318.677976,685.5952495,981.5000434,1623.994792,950.1112817,1788.947439,1060.687295,613.3500426,172.1856896,174.3341196,286.9324641,367.7249882,307.4146224,276.7727373,778.4519417,268.5771617,288.6718391,786.5065148,348.1934212,625.7463461,347.5112908,607.7673289,369.3001362,265.3341423,304.202077,273.3006599,65.92704464,528.3619994,268.8351037,311.7350982,336.9592512,620.7012236,468.6363843,675.8954198,406.9678801,3626.730269,1333.846352,1125.794002,827.6775388,223.5997503,178.7982208,202.4817328,806.2293238,377.0839739,857.8899984,2100.653706,1423.827106,1518.168442,2082.840668,17032.964,26690.412,33588.616,51308.831,65994.764,3013.616,93942.79,14530.504,14742.091,23842.21,9479.827,37508.016,952.761,23216.096
5,3638.20232,2102.265675,2428.295231,2165.473129,1748.521332,598.6581968,1055.368776,1329.720037,633.7331419,708.7568265,1196.449767,2361.241481,2117.239231,2293.600571,1436.013391,568.7653851,863.0470431,687.9315874,236.8543955,380.5171227,783.8011624,250.8098015,419.3766339,447.060503,372.6986145,837.2007469,467.3070685,985.9762739,272.3287201,771.7334001,629.0669467,775.7443998,678.7928554,221.1484983,561.0383118,141.6763829,137.1669958,259.0544158,475.9737307,792.777577,750.731402,297.6922568,7554.954277,2367.537757,3392.253209,2164.687914,1111.389542,310.8071569,402.7484384,685.8400223,309.6914835,351.6153853,1251.050478,3040.667176,402.4946093,4399.289556,3139.036,18586.412,43776.616,53811.831,67230.764,4231.616,97008.79,11016.504,14510.091,26762.21,4502.827,46273.016,4504.239,34480.096
5.25,1842.886337,627.7787982,920.4301113,569.037952,938.5804451,583.5707373,697.1365858,1054.344115,524.8703581,1007.713173,740.1462408,723.3564493,855.2763584,1050.005143,1169.610867,423.0074946,516.6361793,231.897782,513.3696435,124.2622434,345.3587466,690.2754252,39.84802804,474.1017757,156.5648853,452.0944279,194.9026098,625.9595746,432.6405056,241.9817796,249.9034357,168.9168434,245.9963444,120.4358322,145.1085991,354.6230542,458.94824,411.2981923,411.4402092,197.5878432,425.8760158,66.58742784,3979.482783,352.4317533,946.7813133,434.8096533,1433.399902,848.5057093,1112.273134,654.1875803,742.1629557,1429.121381,329.6175347,1405.490214,424.7769848,2571.702253,10836.964,17826.412,41778.616,57865.831,69736.764,5491.616,98820.79,7177.504,11174.091,25642.21,2577.827,44611.016,10512.239,27847.096
