time,F3(gamma),FC5(gamma),AF3(gamma),F7(gamma),T7(gamma),P7(gamma),O1(gamma),O2(gamma),P8(gamma),T8(gamma),F8(gamma),AF4(gamma),FC6(gamma),F4(gamma),F3(beta),FC5(beta),AF3(beta),F7(beta),T7(beta),P7(beta),O1(beta),O2(beta),P8(beta),T8(beta),F8(beta),AF4(beta),FC6(beta),F4(beta),F3(alpha),FC5(alpha),AF3(alpha),F7(alpha),T7(alpha),P7(alpha),O1(alpha),O2(alpha),P8(alpha),T8(alpha),F8(alpha),AF4(alpha),FC6(alpha),F4(alpha),F3(theta),FC5(theta),AF3(theta),F7(theta),T7(theta),P7(theta),O1(theta),O2(theta),P8(theta),T8(theta),F8(theta),AF4(theta),FC6(theta),F4(theta),F3(delta),FC5(delta),AF3(delta),F7(delta),T7(delta),P7(delta),O1(delta),O2(delta),P8(delta),T8(delta),F8(delta),AF4(delta),FC6(delta),F4(delta)
22.25,1531.059065,281.1787993,482.1451497,245.5890375,348.3788227,308.3028138,407.9081681,1025.157269,389.4074631,353.0066815,504.6616894,643.8261933,339.6004595,949.1911033,732.996065,219.3108826,295.3845602,119.1086485,145.6306244,89.08726473,196.650613,498.4628036,163.8897231,158.0708676,210.4527078,253.0644957,175.8683665,413.3588029,618.7445314,142.2972457,154.0611003,193.4640217,107.6391557,126.6214151,180.2039334,97.81559408,184.3748223,114.7636574,14.74231326,187.3624324,34.63116489,345.6996164,1752.355013,427.4235839,581.7168449,380.63126,286.8374992,153.7347666,215.2517365,217.2271105,88.40383581,292.9014219,440.1645834,746.4858423,189.5172835,975.5570403,34237.964,14609.412,18405.616,43501.831,40000.764,922.384,85050.79,20465.504,15859.091,1828.21,6658.173,27237.016,4899.239,8705.096
22.5,1068.725894,233.4794507,411.0039951,266.6648688,254.5385308,295.5864683,626.3650798,1722.991335,375.5949081,554.3964037,507.8018319,629.7889244,522.6355325,657.9956628,643.3680368,128.9603569,191.9097905,102.3569737,106.4004777,162.3054348,307.8628134,785.2137872,90.81458197,173.4387379,192.3818455,324.7637157,151.1310021,377.759065,673.3835679,114.3729886,194.3716958,90.18896351,44.1577022,97.92244492,230.9773051,317.8359537,223.2811277,93.44805043,220.8203853,261.292884,151.3595514,355.8148433,1742.61577,223.5313577,615.1152363,134.8413972,260.8354822,191.6541143,554.7403588,335.8303101,51.43734474,266.9270236,390.5227098,653.4223087,256.480572,906.4278574,40370.964,15383.412,16498.616,43870.831,42210.764,1055.384,84591.79,20881.504,14968.091,1127.21,5041.173,24028.016,4168.239,4713.096
22.75,165.8921012,304.620948,237.7173043,365.1709621,456.3319604,367.8265947,1016.560193,909.6363027,715.6348318,538.4264083,562.6599662,419.9421295,524.3768232,201.363258,59.70891301,107.0247635,202.0737344,276.2724378,204.2335459,155.5399469,276.6811195,441.9097936,158.6028326,211.3506294,159.8354514,103.7324594,203.0129989,81.93807304,136.9326946,161.804726,144.55046,82.63041106,48.86356805,51.87847865,352.4647991,312.0826413,142.5952035,284.1065699,395.1663769,218.5859631,233.7280183,70.1051088,392.3704043,483.1715175,102.9074442,226.58909,344.3518132,177.7406656,345.5805185,352.1588297,132.8903679,97.19628321,525.9060199,359.3325498,122.7828232,81.00844224,35209.964,13933.412,17840.616,42674.831,40738.764,2183.384,83442.79,21684.504,14895.091,81.21,5269.173,26110.016,4207.239,7444.096
23,494.1817894,523.9470766,477.2023044,752.6557417,499.6536808,269.4367402,810.6500374,691.7266575,438.2654269,462.0291659,391.6516809,676.764763,585.9948649,404.6214148,216.1345671,94.81272143,161.8483119,182.2187923,184.9190482,59.62583401,271.1123846,139.827878,112.0101309,166.87934,229.9456359,177.8059422,261.6296317,190.0041112,217.6916481,248.2869495,265.5519768,306.6152839,224.1173159,105.939082,108.7333015,270.3890777,278.2436568,72.47128375,101.0927385,247.4654833,51.7787388,124.729477,1736.63809,195.8548532,789.6095444,357.3498949,216.2297831,139.925191,171.8596793,51.43873026,201.4814058,173.5980657,349.9712815,849.9678728,157.288882,1074.640836,36457.964,13075.412,17723.616,42473.831,40283.764,2040.384,83869.79,21165.504,15305.091,1531.21,6468.173,26802.016,5698.239,6582.096
23.25,1234.518724,2003.660662,684.2919281,1920.737062,793.6958343,595.3654991,836.8618496,794.7639428,631.6952862,981.5169641,816.6987517,623.413398,864.0714178,887.3150435,676.9726959,301.3274421,284.1706329,661.0603797,475.1279994,334.4197475,469.8692925,324.1954476,122.289203,287.404164,175.2058943,209.9297532,307.7620291,329.7533779,761.936563,530.7705894,158.8219346,786.9305145,616.4638301,210.2217358,194.3841127,440.1447364,148.477916,173.7609058,189.9844469,216.8233138,216.7816829,450.673276,1180.63085,1254.878113,742.7869387,705.5751977,78.32820768,57.54200975,274.1226452,310.3089828,404.3754093,142.3297179,1406.125602,1226.644822,731.9140963,987.7315193,38785.964,13068.412,19289.616,45712.831,40692.764,1696.384,83985.79,21565.504,16625.091,4127.21,9236.173,28598.016,8052.239,5427.096
23.5,4146.47995,1061.226571,1274.760029,1881.914118,889.1792054,646.7118797,666.6933422,664.2293291,650.2892755,739.8099501,725.9479786,1800.836926,1276.188717,3020.00756,1332.60743,473.7020517,576.1178318,653.067556,181.0769074,161.8697057,188.8974694,236.3675533,123.9715403,209.7716912,160.787658,563.3764138,422.8866544,906.7441751,2932.152291,76.38599929,764.3828555,715.3715703,485.4703678,400.0392037,218.7499149,561.6345983,519.5493678,767.8512382,596.1605232,1111.533063,674.9317588,2055.867993,8151.764782,384.7552082,2216.933509,2485.465177,2179.77752,690.9482127,755.9446314,787.1436737,658.6523532,1175.165428,218.1628085,3374.398203,852.1278567,5691.617123,34680.964,14430.412,19395.616,44457.831,43091.764,940.384,85151.79,20596.504,15666.091,4343.21,5839.173,28442.016,6088.239,7983.096
23.75,1720.640243,495.3917053,707.5373386,576.9380834,422.2423965,412.9949485,857.020213,1199.564815,502.9136477,771.5114002,861.4623075,822.5492957,579.2155725,1183.138343,573.2121786,130.5143975,277.8947526,199.9992082,86.07915586,159.120625,184.0989722,588.2444343,232.5407627,329.0892233,273.5043542,369.4537497,169.0843864,457.883006,526.1075237,160.9480118,344.9039094,135.4323374,88.25812218,122.0229277,237.2749486,353.7837156,219.3561587,240.723477,142.9961757,485.061785,231.6352447,584.9394041,3435.878304,208.5310259,998.1811126,203.0207507,668.819144,531.0789675,138.4965405,274.2261016,538.4071966,518.8732631,355.4523421,1370.806173,304.096635,2443.375505,38092.964,17139.412,17515.616,42185.831,41290.764,858.384,84934.79,20826.504,15149.091,3797.21,7125.173,26506.016,6061.239,4862.096
24,392.0218082,586.4207726,474.9826577,764.2084482,508.0277387,375.7803206,1045.419562,756.7060711,565.9057066,1065.278333,1141.983239,779.5724197,2354.007514,625.7508994,95.06398693,134.4557703,130.3793299,207.8061586,170.1698592,227.8397169,349.5029161,196.0654092,187.2733423,305.4141364,314.0977824,166.6199324,468.8310869,154.0785967,81.56509168,150.5625087,237.88665,312.0758944,176.794459,88.48500331,156.729593,198.7297273,118.5374145,155.2717566,235.3743247,155.8380431,315.0537572,117.0396743,765.0894689,670.5020647,555.741727,633.8229342,222.208441,103.0548281,485.8863426,153.1647706,121.0907059,291.8904926,1346.16937,734.436957,932.7432846,602.980483,34733.964,17201.412,20536.616,44480.831,40007.764,1704.384,83972.79,21368.504,16259.091,2897.21,9299.173,30908.016,7173.239,8496.096
24.25,242.5264376,585.3001527,610.5821353,551.9941731,283.3386814,312.190023,565.4355709,1237.590811,325.0264053,688.9818194,649.5097465,899.6322901,1277.480509,776.4037476,185.2369536,117.8688463,263.2149967,206.8241797,135.7419611,106.8261492,138.8246968,469.7862945,233.8132681,444.243641,271.9805016,415.9972204,343.9593255,406.7946367,222.7644889,219.7396371,232.66931,355.2177712,38.54132703,92.18190095,9.970309017,92.65143244,197.5603299,353.3559114,264.0702856,261.1637477,288.9299116,233.4791214,776.4800643,137.5904671,402.3092636,388.2845803,301.2235037,152.1783658,142.9401725,211.4228516,136.377058,372.1798287,77.34109148,519.2233179,174.706767,828.1294618,29984.964,17882.412,19759.616,42165.831,41338.764,1108.384,85198.79,20786.504,15584.091,2270.21,8240.173,30134.016,5666.239,8917.096
24.5,1773.149809,664.0870761,609.8485897,361.5775816,470.3394623,270.3418792,1254.864315,1111.94489,486.0472302,493.4225685,493.3399895,690.104098,925.7968196,927.143983,937.9044393,199.1140538,268.6384713,201.5942032,253.1546481,103.4241774,456.1772106,400.935684,160.2528136,244.382051,236.4606651,404.1111213,122.7414693,649.267922,626.6231405,59.66270886,223.5338989,74.37167776,227.097036,157.0206497,400.7179486,526.0776205,211.535985,271.5421187,218.1503127,205.3397657,124.9554425,389.5152791,4458.858803,102.563375,1446.952026,188.7498755,899.7491117,654.2671626,479.2524893,572.3235688,726.0871702,1101.286865,961.2431486,1443.290178,877.8890466,2739.174853,33554.964,17816.412,18631.616,43078.831,42454.764,513.384,85820.79,20729.504,13512.091,2524.21,8559.173,28119.016,6238.239,5388.096
24.75,887.8436472,441.1513981,409.3591405,458.5307799,314.175287,359.4961497,925.9667696,879.8602693,551.646427,525.538561,659.0268435,502.9582045,729.1742245,746.0185115,256.9903409,275.6709144,126.0239092,144.5364252,73.30459146,122.225246,341.6238727,196.5768378,195.2560695,257.5148268,217.8191678,159.9812769,251.7353833,259.2433835,585.8450609,277.3120689,114.0156303,356.8129954,80.12436025,42.67804317,99.69562635,458.5740148,346.3232247,235.0956018,155.8714093,170.2912191,72.02368907,428.6474305,1754.823594,710.7224308,542.909651,486.5786803,230.0274663,123.3964114,181.3236732,218.7309427,387.1729523,619.3737784,704.8106548,1014.600121,379.5778429,1275.518923,31060.964,14565.412,20151.616,44458.831,41562.764,1172.384,84670.79,22249.504,15111.091,208.79,4792.173,28866.016,4461.239,6135.096
25,649.4441007,303.0316566,413.5513666,448.5627451,240.5423944,241.7096871,887.0665838,680.4594762,457.3064414,748.4862,703.2662411,656.8190221,1010.874789,587.874943,498.5425312,97.09615176,397.4701058,325.4084686,120.283795,86.96288152,319.1257893,330.339728,125.8285344,530.2545222,704.5256624,648.964299,905.8071214,543.598015,429.4709724,67.02474618,182.361608,102.6349006,68.29619473,249.3369328,535.1036014,105.2418035,176.8918081,136.5783398,38.51422655,275.4238954,195.807676,294.0355287,783.9877113,165.4278755,365.8543287,216.4709671,233.7851893,159.9081432,98.02184801,71.2009863,68.14815557,89.88143244,282.6809667,428.967244,54.10386072,548.5796657,26661.964,14656.412,21513.616,43690.831,40632.764,1405.384,85237.79,22011.504,15577.091,698.79,4435.173,32377.016,4867.239,9378.096
25.25,1012.931869,592.8227802,817.0588706,858.4989192,371.0965689,214.851039,1170.276197,1534.792263,566.9767545,723.3964116,580.6904768,578.347299,666.7344872,649.1630228,433.5196776,159.9468027,205.3107954,238.4227547,160.5039736,200.7569763,301.6567615,524.4897895,178.632218,295.2438891,237.0447672,334.4638833,345.6891316,338.2282936,432.4209732,256.9430523,456.6125274,367.7015062,119.8699729,117.5387612,360.9883939,518.5839458,135.8469248,58.77316158,138.7236411,456.7188124,100.8947169,395.9489446,1895.076917,226.7178391,1053.050366,726.4305909,249.7805965,324.2789844,287.9776698,45.29858247,246.135844,348.3394482,390.7832592,1102.759534,225.9112942,1204.293241,30869.964,14172.412,20820.616,44239.831,40816.764,1188.384,85707.79,21772.504,15194.091,2053.21,7474.173,32933.016,8178.239,7710.096
25.5,2313.024281,494.4261307,735.7068507,329.4322868,318.5050396,353.1372185,1072.006767,731.3597257,767.0272047,767.2933191,592.1623652,873.3599245,497.7132918,1303.769414,776.8780025,67.15043285,146.9970317,109.501141,228.9174026,95.24957939,446.5304233,275.9215167,294.691737,353.0797078,307.5023501,167.2635142,273.1982198,394.4511403,1743.189618,223.7990254,671.6494882,248.2230462,109.2433455,263.7408163,786.7400671,1142.581331,720.5043554,669.828899,270.9063975,692.0139015,280.9535721,1006.106115,3835.410436,389.9142655,1081.324816,284.1480754,451.3759873,525.1424689,586.5932285,663.1518191,569.7768378,834.4209732,611.5398095,1260.091015,511.6685377,2214.317677,36642.964,13913.412,17602.616,43147.831,39556.764,2353.384,85825.79,22609.504,15476.091,1976.21,4946.173,28962.016,7156.239,3915.096
25.75,1262.177373,395.7102009,377.1970298,639.2102221,666.091047,234.0883198,546.5228087,1404.423466,904.1646282,762.699086,544.4439154,459.6090435,775.1940829,882.7255958,411.8025294,145.1530687,65.43664385,192.7618686,232.316978,133.0674952,341.4276588,379.6261648,239.7981928,239.4111289,319.2141523,105.5482443,198.6444376,269.3307177,304.7101297,212.4609648,330.3353317,392.3921915,286.464166,194.7129519,465.096087,514.809523,378.0567919,268.4735519,205.6246993,252.1154999,162.6751422,240.6731459,597.7175064,311.2746282,573.2400563,662.2323448,376.78851,414.692001,552.5798734,83.49024036,305.5062725,487.6073486,584.2326011,433.0793663,503.8226258,317.2425868,34395.964,12900.412,17637.616,41006.831,37237.764,2292.384,87228.79,24793.504,18966.091,1266.79,3110.173,28867.016,4356.239,5331.096
26,316.3550017,450.9183677,445.012033,308.4197048,437.4246856,341.0595711,975.7967692,710.8846555,478.4737271,673.6048344,533.4014377,484.4420239,438.5483426,291.7763478,98.46136853,108.5035457,66.43869921,67.74708666,90.46400851,75.5702896,148.3809797,188.1607389,41.50139122,216.91487,198.3694607,84.01450863,155.0787292,78.88009589,57.39227479,49.28067744,49.19726796,103.0212962,91.65301444,69.55535285,174.2973001,107.7591983,5.836877791,74.14824508,139.68702,11.77681945,44.12616471,83.67009696,333.2793732,193.0500156,84.62819624,107.2466106,33.56135815,31.50040873,125.3388059,245.4563221,48.38321056,186.8556362,215.1061944,63.94883803,80.93503619,203.2862539,34684.964,13326.412,15236.616,39839.831,36595.764,829.384,89099.79,25216.504,18711.091,2870.79,2745.173,26866.016,3012.239,4805.096
26.25,623.3577231,357.4032581,356.3078522,761.0783338,597.7260488,376.54945,781.4267939,681.4400926,448.3621407,455.8645943,528.5105317,449.3668775,589.4308097,576.1564734,198.8726629,67.70810488,131.1972661,284.7288996,160.6718268,136.1084332,218.2887876,110.8284295,116.816868,128.2601125,227.9189842,138.4938884,230.7859852,162.2210167,163.0490989,73.74769142,214.1460082,127.6897782,113.8820811,51.7368592,233.1425028,183.4228068,245.4255557,267.1313012,291.6948825,185.1197986,374.691555,210.4839667,1007.890826,280.989547,764.8639444,981.8941533,630.5912508,191.9171012,726.8821809,714.1938311,481.483965,806.1507636,932.775604,1132.067903,1214.260623,926.934061,32912.964,12955.412,16059.616,42280.831,37239.764,1490.384,87770.79,27236.504,20078.091,5068.79,1899.173,27137.016,1290.239,5430.096
26.5,1188.879574,322.0351495,370.0016156,550.8651984,424.4921955,176.1396654,732.6630008,1124.629429,327.3514158,496.0938751,450.2448788,479.5984899,350.0426552,398.6456198,632.6726906,76.98187814,51.4755185,130.9752059,161.1462797,127.2794443,195.5662376,481.1934718,159.7199117,159.2436314,102.0887449,55.6244609,141.2990273,53.11970293,643.302899,156.2523068,77.76761636,237.7998394,43.41294963,85.21623456,243.2903021,340.8306564,138.5138007,73.020207,97.09007962,84.42841112,75.51156698,173.139707,623.2997668,256.4947146,235.2683193,455.2049158,197.589448,97.36371343,132.9168728,157.7023403,406.9060903,296.9261595,837.1754768,570.8810613,504.3794333,372.2773802,39933.964,13051.412,13064.616,42092.831,39596.764,1131.384,86502.79,26387.504,19725.091,5697.79,1460.827,22307.016,1344.761,677.096
26.75,1302.602403,371.1273111,541.2315957,322.552074,371.0281039,332.1809006,1137.672627,1366.912636,738.4541438,1108.061721,1301.900158,918.461833,883.6747095,901.5256659,1090.751451,211.5807671,353.4837646,235.0461433,202.4010075,206.914451,562.4403123,639.69196,279.84116,457.6256831,459.9959652,525.1465558,237.5204116,611.8192062,863.7932718,139.6053028,322.0516405,164.5100366,257.4899685,230.0218831,152.1914829,216.2500227,317.4836434,475.3848404,575.7200843,227.541164,410.1073969,449.1629689,4797.57655,172.3235387,1657.887037,585.4811692,175.5636948,186.6414046,313.6501652,524.4519335,724.5558483,973.9446764,1798.084829,2503.062986,1104.657186,3157.540114,45044.964,14292.412,13408.616,40752.831,41722.764,857.616,87199.79,22807.504,16038.091,689.79,4819.173,24332.016,3319.239,1159.096
27,993.7455806,341.1822844,513.5823338,364.8606371,335.9153924,351.5465312,567.4745462,649.3705199,367.1201607,793.2567938,565.5326811,739.0622963,631.1095856,586.2146818,82.77707125,46.44003835,144.2124612,111.3439303,154.8513088,148.256508,222.9641975,585.1871118,165.3076209,291.5067658,247.8532875,264.6234043,293.6858054,94.81979573,525.8414164,154.5085765,185.6751794,136.4553197,108.6937594,40.15476906,287.5234346,246.6461761,385.7014611,352.9891885,224.1084535,158.955831,351.3597628,298.6473974,3516.104602,538.433381,1084.539349,177.7715982,357.2062421,137.4482292,96.82511258,471.2854471,352.9035776,642.8332175,243.531088,1201.639586,381.1172517,2044.095887,42404.964,15021.412,15629.616,40420.831,42593.764,154.616,85513.79,21612.504,14223.091,2316.21,7189.173,27603.016,5836.239,3540.096
27.25,1229.594935,232.0046697,363.1380526,401.520854,438.1992197,291.2684524,794.8142066,754.2810922,537.0566695,454.0757887,520.2376955,411.1514011,425.7676627,673.8735184,573.4022672,31.72831714,156.0661065,107.5112626,63.8834322,41.61945459,261.7950207,300.3622861,209.0155879,47.72723049,170.8387851,206.8663791,141.1572724,291.4136131,499.8964377,132.4295063,206.0498115,124.4140223,121.1746848,79.30095895,404.4827971,227.7613562,97.44725063,124.6152074,55.15725516,184.6862605,16.13240501,279.5400103,1535.262569,104.7502965,101.9248227,589.4297793,213.594957,57.640636,251.9215393,339.7100695,129.0263429,681.5846118,165.0215711,285.0908838,153.0272361,488.8000597,33691.964,13573.412,19120.616,41618.831,42879.764,413.384,84121.79,20671.504,14284.091,4626.21,7007.173,31717.016,7348.239,7480.096
27.5,1849.97873,516.068968,714.90717,495.4320917,661.8511542,418.8068357,1603.975579,806.1434163,403.6130993,582.9262697,499.4697615,743.6443693,556.0479144,1057.683969,537.017378,169.0571187,117.9487193,133.7440542,167.3170292,152.5768498,370.7075746,404.7418624,219.3591306,285.4574652,172.1122119,113.2135147,318.5488193,144.786879,665.5593013,288.2800507,381.9322554,226.9465259,185.00337,155.7914491,552.8946513,447.8698489,309.0402341,255.5012158,206.7993826,391.1854575,186.6676024,477.0555097,3571.7126,216.0003571,1034.506724,528.175769,639.5279383,122.3748533,331.5759516,308.6847445,410.2970089,411.3211139,324.2655644,1261.455442,427.2217745,2095.98843,42608.964,13381.412,17277.616,44940.831,45460.764,1180.384,82962.79,20304.504,14690.091,7148.21,7449.173,27533.016,8827.239,1047.096
27.75,1369.98605,590.3135619,921.1851173,398.8251749,570.8543472,491.4803976,1547.38081,1120.883178,437.6609922,641.9021819,728.9780559,1026.561942,1037.681665,988.9109581,522.9989186,159.9245,278.7485501,98.6907985,260.1333615,225.4251143,327.5144974,304.3297032,228.9332823,282.3069536,231.0514809,407.6106238,187.1650251,375.4195904,358.7824032,102.0733742,294.8436702,86.01578334,75.09085427,48.50889792,194.7864625,285.4365202,186.9178552,320.5229025,261.0116901,225.2706068,289.3003242,192.0410602,1475.788282,427.9647715,970.4111836,325.0397789,270.5221004,463.5792952,270.7419791,350.252123,239.638641,360.4137851,587.4393756,1196.780545,290.3819564,1078.921019,28942.964,13332.412,22908.616,45353.831,43790.764,3708.384,81146.79,21527.504,15374.091,6044.21,5363.173,32076.016,8011.239,9206.096
28,984.9103559,870.8363005,719.5636886,498.9940941,536.8116495,522.1513501,635.0097124,604.5204089,366.2481695,615.251965,849.219853,841.3639747,947.9812004,802.9996939,366.7744311,296.7952031,251.0941044,173.5417477,197.9105787,276.0817867,344.8105534,423.899418,145.6718382,139.2775248,271.9250391,286.1912492,372.5521436,175.3653951,335.4392192,75.0732317,306.0319907,68.08087031,173.7438877,44.38659008,314.7778901,262.6484631,262.3480695,323.4380018,670.2709281,374.6818612,598.1198748,319.9682231,1080.183543,265.6538592,625.612285,585.0098942,364.9618278,512.1662799,131.1174041,276.2886706,286.2595394,346.1959746,432.0420454,532.9446326,409.8888581,690.0216652,28361.964,11898.412,23147.616,46262.831,44425.764,3090.384,81461.79,20702.504,15209.091,7136.21,5481.173,32999.016,8121.239,9877.096
28.25,1755.344871,544.2528494,611.6931996,703.8942696,564.2243783,416.8302387,614.2525094,1465.670569,547.4259712,501.5971487,647.9598681,740.6912804,998.63401,887.5396283,635.290462,251.9700662,260.5040453,294.8167862,125.3834833,94.28504961,142.345717,535.4242374,117.8629221,197.1699919,174.8823977,390.7933163,483.3936155,451.3719899,361.4020501,117.2659979,229.9730995,264.9964682,64.97009625,95.1094592,64.31980064,517.8115204,78.82607154,329.2315121,217.9097995,255.9064064,274.3124837,265.1815112,1759.219381,209.7715785,638.7184489,132.8017597,392.4902976,317.2384276,39.23776613,89.74119418,57.45248942,101.1338649,392.5276777,641.4370025,286.9908473,776.3113512,36208.964,10893.412,20343.616,45102.831,46006.764,758.384,82859.79,19322.504,14356.091,7233.21,6596.173,29928.016,8356.239,5349.096
28.5,2090.635252,754.2457558,982.0381046,636.8048393,553.0654473,260.9297503,711.4855535,817.175838,476.3666792,627.2102178,769.6146646,996.9502595,824.1551054,1397.525088,1966.921514,242.2546393,783.4442164,156.6731995,195.3305198,133.175668,422.7250197,607.5635812,304.6983061,308.0986576,296.1739053,799.2803211,370.3346983,1140.240608,1104.614538,225.0961536,275.9438646,313.7604493,92.58013182,159.8720547,438.2535673,177.4600516,89.57932651,233.411717,286.1707428,446.1467773,338.0407868,663.9895818,5979.779414,418.2885414,2086.306951,745.561923,830.9790196,298.6071465,115.9013412,315.9247396,487.2640831,679.3664534,499.0905512,2422.270718,515.6712316,3808.411584,39869.964,10752.412,19817.616,45951.831,46716.764,554.384,83130.79,19542.504,13957.091,5742.21,3977.173,27942.016,6482.239,3436.096
28.75,5256.142518,746.5887651,1711.630487,782.908034,871.5113796,788.4861739,930.1661895,1110.215417,1109.488785,1092.176998,910.4632143,2174.820614,1250.797488,3288.437975,2675.006272,245.9031078,1012.626369,274.4400713,331.8198731,303.0353141,327.8190704,668.5788705,420.658333,517.0721189,245.8189992,1194.341713,489.3433701,1882.317551,2337.589588,56.99390933,823.9983641,138.0389183,420.2160048,67.64263706,410.0129735,452.3270505,692.3350599,854.5165062,756.7149661,814.6969638,805.2314413,1560.105873,1531.060358,209.1134843,214.6384398,1114.973359,310.1793329,190.1915299,437.831276,335.1774703,621.3681847,811.3489363,703.7093191,157.9447866,788.5191901,780.7216815,20658.964,9123.412,28066.616,49577.831,44128.764,3185.384,81089.79,22627.504,17786.091,1013.21,737.173,36270.016,2572.239,16409.096
29,3310.673525,825.5541551,1019.028862,711.8912844,579.2645368,584.3294478,1088.579793,914.042447,717.0764877,759.2926312,807.2045183,1195.64849,860.4888453,1932.980863,941.107402,294.3620902,288.2275022,382.6996177,328.3269796,220.6965898,723.8971758,378.9982918,222.7416821,525.3650821,346.7723598,381.6424401,431.3574837,582.7595616,699.2242144,89.99764926,376.6415331,172.7230886,76.13827386,77.58584109,793.38956,539.146227,411.2949333,380.2823788,222.9030242,401.8188103,243.7092801,442.9574018,4731.4708,646.6925575,1534.573517,712.771668,654.8373217,721.9929029,210.3041944,97.55871688,550.7395522,460.9918751,324.23437,1905.578947,152.3167469,2988.876754,32980.964,10435.412,24479.616,49425.831,46113.764,452.384,82387.79,21293.504,17354.091,4696.21,4781.173,33275.016,4657.239,10268.096
29.25,3196.416442,1082.92729,1016.177429,1390.82701,870.7587549,735.1154506,955.1333682,1467.499566,935.1812853,1368.590936,1391.902775,1204.462806,1945.911191,1803.970114,1599.625189,466.0176723,433.3309885,798.6189787,611.5932358,343.8652719,539.2582702,642.1052839,174.2959382,727.0135474,829.5348131,580.3463759,1182.589478,978.3215543,4183.062302,128.9757989,1320.330424,686.1580595,790.1894956,571.2502423,544.9577671,418.0658696,349.2232901,659.596652,574.260019,1327.419595,506.6864788,2291.197659,9377.975698,259.7885406,3010.693634,1453.553669,1293.548528,867.2217896,895.9599144,922.0544655,1122.181287,1456.067415,1418.560912,3606.81447,986.3543888,5601.371355,57314.964,13358.412,16676.616,49177.831,49028.764,2360.616,86496.79,17116.504,13383.091,9000.21,7927.173,24687.016,7710.239,2792.904
29.5,3314.093968,538.07967,1065.775429,506.9348507,477.9815893,509.2703735,1009.990232,1324.003703,609.8192337,818.356116,1247.770229,1644.104691,1345.862627,1878.212685,1304.032864,392.2742019,388.2132605,293.5799535,245.3421439,204.9103489,162.8042759,443.92387,338.330822,664.70577,271.7085895,381.2583603,600.3059745,685.2828949,1090.597808,180.8264811,209.7592396,96.53677444,167.8729797,149.8325096,131.0616004,694.630867,285.631323,93.81233903,206.9155376,219.001834,99.29118263,432.1038694,4826.892834,251.145062,1378.53184,861.7787709,350.7708951,429.0999921,374.857411,638.0375811,289.2832853,366.2503153,309.7566866,1379.442776,518.5831732,2328.2002,24310.964,13297.412,26483.616,45621.831,43109.764,1020.384,84174.79,20901.504,17151.091,2771.21,6188.173,36047.016,3881.239,15170.096
29.75,861.7069134,702.958635,559.3037868,661.041733,767.9939749,616.2167715,1019.277987,822.2542361,505.7440944,516.9964514,723.3912443,553.7963789,599.6249738,614.1610799,516.7013442,247.7410893,278.1871351,200.7005758,125.0045992,215.3653358,155.7580544,837.8494933,133.0061217,228.925468,237.7285057,434.2922979,276.7282732,385.3618249,304.1316297,197.4582058,169.0751348,70.85410978,94.78641583,175.5214861,212.775037,493.0212828,158.0059875,227.3669381,258.0110467,85.06597799,153.9449379,170.2320998,919.0000456,121.7639768,244.070768,232.5112407,167.956604,113.5932535,331.6660161,382.6686448,281.2912668,560.0215463,783.6459963,305.5713939,546.3682196,397.641363,24614.964,14869.412,25108.616,43512.831,43024.764,1022.384,84408.79,21695.504,17376.091,3376.21,7809.173,36057.016,4961.239,14380.096
30,2464.80056,1057.684007,821.9928384,769.1992302,684.8159789,542.9234815,819.8558647,633.9900133,1164.29604,1031.880883,1628.727075,1192.99121,2137.949172,1701.185468,1054.380474,322.0830871,368.2796485,177.8702908,256.263728,280.3367776,339.0136301,255.0805873,530.8019214,289.139694,609.1329704,367.2560476,1634.996714,480.4117237,654.6982506,231.5550633,270.4884214,451.17296,450.8347675,140.7261302,309.0558447,304.4674957,259.8819575,356.0812465,338.253941,215.0969259,507.8325545,164.0341166,2486.582853,200.5744808,871.4657866,708.0864696,134.6719136,435.7290564,354.5241428,411.6875989,711.6861412,592.8983452,713.6044246,780.6216225,781.9611703,1202.902373,35901.964,16218.412,20478.616,43874.831,45418.764,103.616,86022.79,19812.504,15545.091,4791.21,7398.173,32832.016,6039.239,9560.096
30.25,4032.285545,631.1914922,1671.540396,455.7175646,438.993709,304.3270424,1032.147815,1395.651466,960.437912,1585.222913,1162.266387,2001.298734,2800.570466,2529.458049,2178.182869,140.4628216,853.4738181,167.9586738,263.5153392,136.6934542,327.5558688,163.159977,227.6948143,492.3100339,263.6612815,869.9313349,575.1157202,1274.641496,1230.923377,148.861814,436.4785175,147.4361141,80.80661081,203.3305633,421.7070028,406.1342763,574.3544533,685.9926937,427.5038923,519.2611466,495.0940956,733.5302853,5825.071764,956.4781648,2982.620438,1051.59217,423.4842887,188.3320989,133.9549114,578.3239824,173.1108105,586.3947115,1212.980465,3236.832137,942.6440002,4121.971305,49991.964,15357.412,17308.616,44790.831,47270.764,1511.616,88120.79,18482.504,12743.091,9376.21,11992.173,30509.016,9971.239,3876.096
