channel,freq,C1,C2,DV
T7,9,1,2,1.410456
T7,10,1,2,1.283815
T8,6,1,2,1.567022
T8,20,1,2,1.338787
T8,25,1,2,1.427449
T8,44,1,2,1.433228
T8,45,1,2,1.433378
T8,46,1,2,1.519188
T8,48,1,2,1.411882
T8,55,1,2,1.67316
