channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
F7,20,1,2,1.351208,1.337906,1.751288,0.887487,0.664766,6.020178,1.669259,1.125043,3.505851,1.669224,2.027288,0.712524,0.525888,0.838616,1.562743,0.795225,1.144505,0.700244,1.775417,1.536677,1.501597,1.463386,0.497290,3.071014,0.523910,1.242411,1.186111
F7,21,1,2,1.737866,1.145065,2.017518,0.803337,0.608539,4.356215,2.887692,1.551185,6.651065,1.625644,2.922174,1.735592,0.270506,0.735885,1.819976,1.140952,0.941517,1.203832,1.506383,1.389127,1.803719,3.758476,0.407771,2.971310,0.704258,1.487824,1.505027
F7,22,1,2,1.450682,1.191619,1.527112,0.827109,0.610135,3.320790,2.804912,1.606966,3.389325,1.265432,3.782094,1.325892,0.327181,0.615416,2.523596,0.921255,0.819183,1.453170,1.269241,1.888177,2.269641,3.326745,0.381401,2.650645,0.877881,1.338078,1.638023
F7,23,1,2,0.850723,0.986260,0.829948,1.130341,0.439284,3.551003,2.496317,0.882065,1.700831,2.101114,1.583844,1.470358,0.830326,0.858682,0.955346,1.117908,0.942024,1.324493,1.344565,1.449034,2.012650,1.893758,0.770567,2.095365,1.140849,1.239562,1.290554
F7,27,1,2,1.289897,1.370067,2.137850,1.897657,0.675478,4.577092,2.309722,0.723239,3.114843,1.265523,2.499951,1.373585,0.346801,0.652386,1.316478,1.036975,1.280814,1.375916,1.370560,1.518078,1.779130,1.785481,0.523295,3.365999,0.630970,1.484729,2.721409
F7,28,1,2,1.072809,2.321760,1.338561,1.106401,0.795109,5.020503,1.355423,1.040732,1.666584,1.962224,0.866746,1.167148,0.886920,1.599106,1.481775,0.906627,0.915059,0.611388,0.815419,1.378185,1.290367,1.872464,0.691044,1.427939,1.166929,1.599068,1.049505
F7,29,1,2,0.829166,1.874969,1.034903,1.038637,1.729513,2.784308,1.796237,1.297189,2.984457,2.324224,1.092917,0.949879,0.567833,1.282976,0.907488,0.874617,0.801073,0.793717,1.256509,1.139221,2.171293,1.202424,0.610125,2.008059,1.302936,0.916027,0.786576
F7,30,1,2,1.078131,1.267472,3.527100,1.365766,1.081175,3.071144,3.743539,1.572455,5.825896,2.120527,1.366660,0.908851,0.407497,0.858843,1.549512,1.572074,1.298662,0.905777,0.873407,1.254939,1.199780,1.700831,0.399180,3.106166,1.017602,1.160172,1.461952
F7,31,1,2,1.262737,1.148934,5.152016,1.720075,1.271399,3.973795,2.839249,1.605608,6.151076,1.825700,1.513761,0.998126,0.394575,1.079764,1.324173,2.185841,0.918599,0.770886,0.788115,1.155840,1.016537,2.279356,0.252504,3.111260,0.842610,0.939518,1.690148
F7,32,1,2,1.439868,0.973984,2.732605,1.274802,1.197948,3.779834,1.764630,1.441129,3.418983,1.296585,1.113373,1.193949,0.590402,1.375166,1.350448,1.520814,1.571839,0.735896,1.386725,1.425378,0.803614,2.580143,0.400961,2.830603,0.612022,1.085049,1.179906
F7,38,1,2,2.386670,1.325479,1.565519,0.953451,1.414861,1.880178,1.078564,0.357862,1.127140,1.226761,0.992540,0.958000,1.278523,1.411370,1.243383,0.830039,0.857538,1.434759,0.845202,1.228257,1.060497,1.046640,2.000893,0.937751,0.895610,1.580261,1.075590
F7,39,1,2,1.259960,1.688486,2.439806,0.718691,0.714090,6.376949,2.292271,1.073130,3.779464,1.405540,2.542015,1.100287,0.729125,1.207835,1.576921,0.613829,0.960730,1.034605,0.968389,1.144964,1.311918,1.914828,0.530908,2.791119,0.692489,0.716399,1.436297
F7,40,1,2,1.050638,1.513398,2.819199,1.161223,0.761776,5.028791,2.945905,1.410446,4.619018,2.474298,2.370341,0.987845,0.286252,0.822515,1.221445,0.769324,1.295389,1.260708,1.406051,1.143094,1.442254,2.138049,0.451874,2.124922,0.672231,1.458251,1.925028
F7,41,1,2,0.979077,1.407840,2.657496,0.814504,0.773067,5.006876,2.774152,1.340271,3.265250,2.238765,1.766164,0.832938,0.342681,0.639914,1.327015,0.890360,1.253406,1.440904,1.541430,1.350512,1.452377,2.525084,0.428555,2.304302,0.874299,1.747508,1.692047
T7,5,1,2,2.900799,1.517314,1.414899,1.311534,1.422152,4.194003,0.842447,2.230250,1.980749,2.296724,2.356704,0.890331,0.263745,0.576588,1.679705,1.111322,1.235252,0.272623,7.699644,5.494689,2.502811,1.519095,0.854608,1.742094,0.402713,2.043599,1.462646
T7,9,1,2,0.975374,1.273740,1.302311,2.456218,1.373595,3.988358,1.813521,1.685726,2.311198,2.351025,1.622569,1.858389,0.604232,0.575502,1.720232,0.867232,0.926757,0.237718,2.487410,4.590054,3.218779,1.610521,0.491117,1.898609,0.641585,1.143442,1.259480
T7,14,1,2,1.007758,1.706958,1.896916,1.764428,1.426607,4.053881,2.022201,1.234798,2.292278,1.252978,3.763392,0.965669,1.020532,0.544202,1.766133,1.007562,1.301907,0.751237,1.811117,2.293982,4.519690,2.386511,0.450393,0.896145,1.143313,1.068568,1.487111
T7,19,1,2,1.095796,2.314433,1.585565,1.469165,0.794384,3.613063,0.850455,0.827276,1.865525,1.330726,2.220308,0.856263,0.560077,0.796712,0.966678,1.631936,1.797450,1.045955,1.244212,2.084834,3.303812,3.068492,0.407974,0.709805,1.076937,1.076629,1.471476
T7,38,1,2,1.063851,0.657701,1.485393,1.264571,2.147164,2.413790,1.373063,1.176534,2.847658,2.074271,3.341853,1.273204,0.877937,1.347101,0.849134,1.106441,2.012579,0.648661,2.041609,2.605352,2.343727,1.157814,0.425161,1.390632,0.777675,1.020341,0.979489
T7,47,1,2,0.742153,2.838645,1.663874,1.480738,1.714190,4.410485,1.450987,0.967365,4.164939,2.377812,2.497293,0.984793,0.466378,0.587097,2.209858,1.403048,0.910819,0.359771,2.509960,4.071528,3.409635,2.250422,0.318906,1.369586,0.435165,1.762079,1.806460
T7,52,1,2,0.597634,1.426415,1.365281,1.465083,3.576071,3.251300,2.577390,1.156687,4.601440,1.091310,5.434657,1.089310,0.413953,0.439595,1.971132,0.811795,3.641091,0.301899,3.440269,4.051087,3.588597,1.983079,0.419081,1.204555,0.754569,1.385737,1.168558
T7,57,1,2,0.718021,1.432392,1.272615,1.380993,2.391397,3.660019,1.933840,1.280276,3.441006,1.139486,4.884345,0.882567,0.434916,0.414199,1.840194,0.772239,3.724359,0.320974,2.963195,3.950509,3.014790,2.078419,0.402567,1.199402,0.824004,1.195507,0.933055
P7,0,1,2,1.067202,0.625907,1.616074,1.198861,2.751819,3.638433,1.701547,1.679013,6.092575,1.722496,3.018105,0.618576,0.335519,1.351915,1.448549,1.051377,2.941841,1.094509,3.375954,2.321611,2.406478,1.482670,0.579796,1.013702,0.802604,1.025709,2.314738
P7,1,1,2,1.021445,0.639479,1.676920,1.202319,2.754770,3.647826,1.681263,1.714839,6.289546,1.666890,2.991277,0.608393,0.340888,1.333640,1.447166,1.069707,2.870798,1.077469,3.396602,2.297589,2.391928,1.472149,0.588987,1.002986,0.818089,1.005781,2.322723
P7,2,1,2,0.890346,0.636389,1.887489,1.165204,2.863404,3.758987,1.653176,1.681419,6.666826,1.861213,2.969509,0.577595,0.351282,1.277691,1.506996,1.274494,2.811149,1.028957,3.357563,2.325065,2.391227,1.475468,0.597199,1.018863,0.809301,0.999395,2.232471
P7,3,1,2,0.744249,0.587422,1.820259,1.087355,2.945822,3.728392,1.720533,1.609252,6.294854,1.999083,2.867909,0.554271,0.392253,1.112074,1.496200,1.768070,2.524207,1.013124,3.771110,2.524327,2.382370,1.373751,0.616433,1.022776,0.805531,1.039852,2.344301
P7,4,1,2,1.395288,0.663766,0.999171,1.084610,3.222917,4.390715,1.702881,1.665646,5.061057,2.579811,2.718209,0.626510,0.568931,0.775254,1.511124,1.997204,1.436344,0.612893,4.981146,2.010937,2.579082,1.513238,0.879652,0.987987,0.784603,1.175601,2.561986
P7,5,1,2,1.398043,0.740391,0.847251,1.327270,1.067545,1.095572,1.649253,1.057663,2.528135,1.505397,4.720052,1.015607,1.376765,1.406579,1.068060,0.861064,1.114193,0.674663,2.082207,2.734384,1.707229,1.108355,0.553748,1.335399,1.139017,1.759643,1.745021
P7,6,1,2,1.202231,0.560822,1.244689,1.243791,1.389798,2.413127,1.438367,1.405233,3.768827,1.470724,3.067063,0.945860,0.504262,1.731771,1.471470,0.742877,3.224167,1.099352,2.952380,2.487776,2.575847,1.234229,0.368532,0.858119,0.640119,1.556284,2.654062
P7,7,1,2,1.109552,0.655847,1.803198,1.299696,1.474678,2.401601,1.427039,1.219961,4.149451,1.862180,2.984958,0.830557,0.489364,1.519132,1.252904,0.866237,3.047002,0.981822,2.556445,2.165680,2.775919,1.414551,0.383176,0.823644,0.651774,1.522908,2.376233
P7,10,1,2,1.895337,1.562045,0.623233,1.200670,1.385003,2.321152,1.944686,2.133648,4.888064,1.289228,3.038156,1.054403,0.639589,0.933674,0.912835,1.522661,1.133655,0.851230,2.596751,1.388258,2.482289,0.915693,0.518855,1.248350,2.239274,1.214534,1.284241
P7,11,1,2,2.717273,0.829461,0.969229,1.399427,1.947291,4.760780,1.926701,3.676911,5.747585,1.397396,3.272014,1.184942,0.397518,1.475897,1.555592,1.126073,2.021971,0.696148,4.089198,1.869960,1.892951,1.267677,0.562609,1.125134,1.773676,1.274544,2.140738
P7,12,1,2,2.442106,0.809399,1.295336,1.276915,2.136047,4.828568,1.919391,3.184902,4.839077,1.176724,3.224378,1.135162,0.426886,1.593787,1.392506,1.092052,2.528427,0.751260,4.211488,1.918757,1.769290,1.310348,0.594466,0.892112,1.152664,0.994356,2.261495
P7,13,1,2,1.388172,0.781524,1.432905,1.070391,2.210362,3.376483,1.929730,2.427320,5.839835,1.054987,3.439114,1.250098,0.522239,1.087176,1.094731,1.502740,2.698195,0.976278,4.289571,1.323213,1.699717,1.500383,0.690900,0.794017,0.904575,1.315909,1.685778
P7,15,1,2,0.758216,0.829687,1.209613,1.820707,1.437627,2.084953,2.470079,1.663536,3.999725,1.531773,3.810132,1.247060,0.985880,0.598645,0.634719,1.208540,1.064050,0.969479,3.186246,1.257945,5.103760,0.522320,0.505956,1.683485,1.058207,1.376810,1.531913
P7,16,1,2,1.086496,0.737789,1.978156,1.812642,2.273352,2.491689,1.934118,2.053713,5.490744,1.380136,3.641916,1.436048,0.550417,0.619937,0.816901,1.214784,2.228811,0.875224,4.258340,2.380490,2.588786,1.018972,0.467894,1.490442,0.841744,1.209443,2.251791
P7,17,1,2,1.238454,0.762578,1.324733,1.695441,2.254900,2.642218,1.782532,2.215927,3.789679,2.011048,3.650886,1.175959,0.595802,0.465146,0.787647,1.525930,2.723816,0.832460,4.220829,2.225881,2.263212,1.171928,0.413516,1.447558,0.880666,0.999264,2.821622
P7,18,1,2,1.259942,0.826850,1.347791,1.370922,1.443448,2.275677,1.544832,1.578149,2.890498,1.541087,3.857013,1.283107,0.884078,0.471256,0.799677,1.436618,1.917488,1.023827,5.096371,1.954670,1.947043,1.428384,0.379684,1.509498,0.839027,0.771095,3.170186
P7,20,1,2,1.166545,0.679319,1.742928,1.096650,1.382966,3.265731,1.864185,3.099404,5.691541,1.389441,2.599605,1.094357,0.929115,1.997861,0.980017,3.584674,1.392510,2.054853,3.771014,1.136796,2.444800,1.409988,0.756512,1.308561,1.022692,0.991461,2.641763
P7,21,1,2,1.263233,0.745061,2.099935,1.421319,2.037125,3.955749,1.898744,3.812583,6.378689,1.216777,2.899315,0.824850,0.538425,1.224829,0.748323,1.748758,2.287000,1.427809,3.851726,1.444338,2.741721,1.338722,0.693184,1.152904,1.250153,1.043764,2.125691
P7,22,1,2,0.922103,0.669210,1.846036,1.342049,1.832960,3.723836,1.600268,3.182444,6.362853,1.027376,3.075190,0.726686,0.527474,1.469787,0.521095,1.704334,2.658773,1.018619,4.400804,1.325803,2.256446,1.219007,0.561344,1.219715,1.447667,1.132407,2.058779
P7,23,1,2,0.731957,0.972650,1.168954,1.272612,1.558866,2.444383,1.380770,1.539047,3.802113,1.174610,3.186354,1.185753,0.931127,0.858990,0.530888,1.418553,1.835797,0.591734,2.163384,1.006827,1.798630,1.102357,0.650585,0.777272,1.279742,1.292697,1.811895
P7,25,1,2,1.523096,0.917132,0.603006,1.625615,2.017519,2.487699,2.102410,2.298805,2.364279,1.526713,3.246687,1.196171,0.665905,1.140696,1.311981,1.179090,1.497652,0.350455,3.286542,1.872781,2.318875,1.846673,0.608424,1.105309,0.862212,0.777608,1.785458
P7,26,1,2,1.094320,0.897173,0.798006,1.883654,2.279895,2.796266,1.964653,3.256545,2.613097,1.742681,3.081163,1.177521,0.768166,1.112234,1.355095,0.836248,2.012629,0.417912,2.513450,2.381064,3.399024,1.618147,0.555622,1.146303,0.923614,0.920633,2.082526
P7,27,1,2,1.259359,0.888440,0.808935,2.584796,1.663051,2.401605,1.980623,3.555953,2.346189,2.438448,2.940253,1.223957,0.858451,0.947676,1.574343,0.833627,1.913188,0.550371,2.745193,1.669619,3.059695,1.562753,0.587891,1.064638,1.180980,1.147608,1.924677
P7,30,1,2,1.386372,0.549819,0.997641,0.934971,1.782167,2.332674,1.807663,1.335779,4.873143,1.175160,3.912779,1.154128,0.634226,2.049748,0.862345,2.387030,1.424605,0.625094,2.738662,2.409769,2.247724,1.266337,0.528466,1.061423,1.153202,1.843964,1.984910
P7,31,1,2,1.144676,0.608316,1.066736,1.134731,1.936525,2.847266,1.722687,1.592966,4.315097,1.080930,3.744067,1.474791,0.607642,2.120867,1.089137,1.850392,2.025499,0.625585,3.156784,3.378700,2.089618,1.398764,0.499081,1.122705,1.192201,1.765278,1.727436
P7,32,1,2,0.962750,0.672161,1.707892,1.053662,1.578898,2.622303,1.996175,1.279100,3.575709,1.215189,3.494413,1.141488,0.642459,1.466033,1.407085,1.289805,2.065966,0.823117,2.945139,2.224363,1.404851,0.883468,0.517016,1.179478,1.319782,1.544700,1.209988
P7,33,1,2,0.866049,1.696243,0.993635,0.960731,1.121625,3.518674,2.534713,1.225185,1.439590,0.749911,2.560777,0.595042,1.238783,1.404399,0.841537,0.967138,1.177867,1.554248,1.520746,1.067926,0.755917,1.778793,0.672953,0.878470,1.118674,1.556950,1.039289
P7,35,1,2,1.166777,0.628707,0.683881,1.496881,1.391719,3.689853,2.018637,2.226528,3.556417,1.908541,3.416147,1.243583,0.805288,1.031575,1.076064,1.114443,1.853235,0.827128,3.491345,1.446126,2.467147,1.234050,0.365873,0.662767,1.306670,0.975815,3.166618
P7,36,1,2,1.022640,0.621451,1.098468,1.362015,1.666051,3.704133,2.433848,2.411943,3.062256,2.135670,3.592752,1.411837,0.692359,0.766539,1.092138,0.955475,1.944938,0.784050,3.134755,1.810334,3.080681,1.289933,0.449375,0.640103,1.139416,1.031399,3.408011
P7,37,1,2,1.389671,0.715267,0.789303,1.231950,1.171207,3.669535,3.733210,1.400385,1.726132,2.115656,3.210137,1.169708,0.612270,0.954957,1.290507,0.612954,1.855038,1.162919,2.625637,1.628063,2.104207,1.241317,0.358552,0.903392,0.861891,0.990457,2.297846
P7,40,1,2,1.161270,0.684530,0.858204,1.794514,1.845773,3.223725,1.481194,2.103790,3.696676,1.199376,2.917702,1.150832,0.888827,0.715959,0.887233,1.063072,1.656191,0.928809,2.921112,2.205910,2.223567,0.967996,0.525113,1.285077,1.740549,1.460259,2.595501
P7,41,1,2,1.374438,0.633668,0.686389,1.827136,1.821078,3.844602,1.619638,1.861497,3.514111,1.435682,3.163437,1.318204,1.040189,1.106359,0.980116,1.782244,1.727931,0.954271,2.723069,2.372747,2.176145,1.070565,0.596524,1.464988,1.465124,1.636802,2.345595
P7,42,1,2,1.341006,0.601363,0.748412,2.019526,1.255537,2.422319,1.866292,0.736391,2.630739,1.376939,3.055235,1.285451,2.083956,0.950059,0.996178,1.411728,1.601221,0.976319,2.139379,2.245404,2.093286,0.962449,0.897510,1.508151,1.702218,1.742830,1.279658
P7,44,1,2,1.037546,0.741421,1.130232,1.052010,2.305410,3.061705,1.626752,2.616320,3.240768,0.886199,3.040957,1.252573,0.538037,1.353195,1.790187,1.226591,1.957047,0.727355,3.681404,3.884382,2.715794,1.092493,0.457184,1.152240,1.029026,0.983678,3.028303
P7,45,1,2,1.421499,0.747428,1.391923,1.206782,2.376275,3.142454,1.677586,3.435470,4.196759,0.897692,3.137315,1.030585,0.413037,2.402402,1.617091,1.400121,1.910797,0.740976,3.301099,3.911040,2.934120,1.377674,0.461647,1.038952,0.967436,1.048890,3.351123
P7,46,1,2,1.730075,0.696503,1.141936,1.209549,2.473368,3.132610,1.782867,3.893444,3.374518,0.916102,3.024801,1.022849,0.479111,2.176381,1.660969,2.166912,1.724760,0.784424,2.966922,3.371379,2.910798,1.480250,0.488692,1.111688,0.891255,1.068730,3.346126
P7,47,1,2,2.516992,0.754622,0.479316,0.978150,1.932318,1.440423,1.607061,1.468024,2.354635,1.031959,4.502356,1.399779,0.844759,1.490957,1.519689,0.940208,1.769887,1.142352,4.415384,4.632410,2.448242,1.526563,0.645797,1.586960,0.685487,0.691032,2.474795
