channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
F7,22,1,2,0.916519,1.245878,1.575211,1.089776,0.908589,4.444719,2.694607,1.642650,3.616726,1.562271,1.449480,1.032570,0.427910,0.761352,1.093618,0.984357,1.286117,1.137503,1.183361,1.886025,1.078181,1.471046,0.543213,2.977174,1.016886,0.995513,1.276853
F7,23,1,2,0.927143,1.158719,1.147192,1.178746,0.839558,3.136360,2.020150,1.328594,2.222276,1.330563,1.215389,1.096540,0.677390,0.843219,0.899651,0.781744,0.961806,1.048934,1.048614,1.579099,1.117660,1.257419,0.731937,2.236034,1.181601,1.266504,1.051912
F7,25,1,2,0.976845,1.414757,1.444684,1.055465,1.133056,3.573340,1.611515,1.512252,3.500610,1.335946,1.828149,1.257351,0.541216,0.815607,1.021151,1.408922,1.473371,1.087603,1.126965,1.156670,0.976055,1.355475,0.593447,2.781363,0.911665,1.073713,1.375644
F7,26,1,2,0.978012,1.415620,1.574740,1.079266,1.094138,4.190466,2.025266,1.711783,3.771025,1.242831,1.744963,1.307442,0.439538,0.820556,1.167610,1.611992,1.589140,1.059303,1.228728,1.213708,0.944370,1.556133,0.561219,3.028328,0.846793,0.975817,1.499964
F7,27,1,2,0.989342,1.405530,1.340422,1.171939,1.100419,4.062963,2.048923,1.760822,2.800361,1.078093,1.479866,1.363522,0.496669,0.902219,1.071195,1.326223,1.351441,0.901659,1.200437,1.241760,0.944893,1.572136,0.629746,3.060172,0.923566,1.020738,1.350428
F7,28,1,2,1.081967,1.399701,0.844725,1.420022,1.242994,2.599596,1.340794,1.436394,1.543007,1.072095,1.152006,1.328277,0.711647,1.018324,0.928172,0.845490,1.032847,0.782460,1.048179,1.181767,1.197543,1.356238,0.991722,2.321337,1.171619,1.119585,0.962238
F7,29,1,2,0.806582,1.345551,1.145374,1.309677,1.711997,2.521331,1.270138,1.179848,1.945680,1.594197,1.447872,1.102325,0.702193,1.136584,1.044413,0.740383,1.032385,0.726415,1.128565,1.170161,1.513557,1.346452,0.834541,1.563542,1.071115,0.894888,1.019469
F7,30,1,2,0.858553,1.358548,1.645232,1.139069,1.259463,3.592583,1.710117,1.430255,3.226284,2.224022,1.776248,0.928849,0.470374,1.019022,1.116967,0.900809,1.420693,0.986674,1.505051,1.276738,1.186605,1.470094,0.577734,2.122529,0.784235,0.763871,1.198341
F7,34,1,2,1.094369,1.467387,1.433076,0.848894,1.173744,3.819768,1.258166,1.342838,1.897435,1.113165,1.460129,0.935342,0.638641,0.702780,0.940454,0.792296,1.249380,1.169525,0.860368,1.015537,1.150587,1.588910,0.702530,2.157624,1.065845,0.985343,0.974186
F7,35,1,2,0.995924,1.467234,1.827485,0.736771,1.116387,5.070686,1.527197,1.581551,3.082182,1.542975,1.621177,0.921509,0.479246,0.624914,1.162786,0.953519,1.515703,1.259282,1.072767,1.125662,1.191827,1.794173,0.528501,2.691138,0.902766,0.844996,1.211545
F7,36,1,2,0.975336,1.464165,1.806138,0.790166,1.096706,4.859675,1.555945,1.626768,3.511548,1.799978,1.622126,0.991705,0.479593,0.665711,1.113006,0.985682,1.487760,1.247413,1.160123,1.172623,1.179051,1.719482,0.532262,2.610652,0.880749,0.908498,1.315908
F7,37,1,2,0.988791,1.350496,1.273322,0.912002,1.069615,3.669821,1.299604,1.540007,2.442535,1.661358,1.430409,0.900563,0.642508,0.799398,0.854326,0.977146,1.169002,1.124415,1.102050,1.052719,1.277935,1.464949,0.657952,2.188354,0.841631,1.170388,1.249337
F7,39,1,2,0.903537,1.480678,1.507708,1.198565,1.122110,4.052408,1.695708,1.196347,2.779188,1.292479,1.609182,0.784154,0.568968,1.001305,1.297294,0.768860,0.990794,1.249602,1.064968,1.246918,1.029594,1.536137,0.660145,2.152232,0.999709,0.781903,1.372280
F7,40,1,2,0.915674,1.485908,2.024550,1.033365,1.122631,4.953687,1.869346,1.386806,3.624075,1.490820,1.720044,0.763043,0.420376,0.812266,1.497695,0.904891,1.291425,1.313109,1.096836,1.399063,1.000532,1.662294,0.558365,2.678769,0.944660,0.685293,1.444306
F7,45,1,2,0.922814,1.452218,2.643071,0.696588,1.137075,5.124936,2.674299,1.406098,4.775967,1.653205,2.079860,0.792823,0.275701,0.639153,1.929203,0.995454,1.566566,1.158301,1.319117,1.508733,0.912747,1.916265,0.549241,3.042039,0.862472,0.631527,1.334612
F7,49,1,2,0.924552,1.401733,2.353790,0.728123,1.171387,5.361718,2.775972,1.532537,4.702774,1.900217,2.061905,0.802499,0.272856,0.693269,1.689910,1.021967,1.482560,1.202525,1.159441,1.536852,0.953019,1.904637,0.517961,2.933702,0.848176,0.640408,1.384143
F7,50,1,2,0.927926,1.428867,2.659389,0.681773,1.147091,5.730412,2.934150,1.523697,5.501975,2.015329,2.082843,0.843591,0.237465,0.652604,1.862811,1.054995,1.598401,1.265964,1.235140,1.675911,0.932470,1.935092,0.509288,2.971108,0.832834,0.625261,1.378939
F7,54,1,2,0.928362,1.410517,2.592683,0.694492,1.153853,5.573061,2.700737,1.553075,4.905343,1.921399,1.992701,0.750651,0.242087,0.656361,1.827279,1.060465,1.528676,1.242520,1.240591,1.676629,0.931637,1.826574,0.518012,3.009113,0.846244,0.632914,1.384389
F7,55,1,2,0.927515,1.418325,2.637909,0.715098,1.159206,5.719657,2.678715,1.531695,5.097971,1.851267,2.020141,0.795971,0.243932,0.645639,1.856076,1.063013,1.554268,1.245512,1.193048,1.673792,0.925184,1.846246,0.509489,3.001595,0.828854,0.637907,1.355850
F7,59,1,2,0.921824,1.418578,2.572273,0.672948,1.162103,5.704918,2.930988,1.541164,5.517326,2.002054,2.037650,0.801482,0.231270,0.658163,1.948629,1.063157,1.589343,1.252721,1.226741,1.798541,0.937557,1.921350,0.504459,2.975791,0.842293,0.632173,1.410056
F7,60,1,2,0.920787,1.414532,2.471934,0.746179,1.185674,5.365874,2.677572,1.520746,4.910602,1.831651,2.017008,0.782272,0.252837,0.671594,1.767436,1.019435,1.484373,1.209514,1.197920,1.691498,0.937806,1.837488,0.526806,2.939382,0.841284,0.655816,1.300832
T7,4,1,2,1.050821,0.725679,2.097936,0.808941,1.410696,2.982528,2.367362,1.705665,4.139527,3.312218,1.675127,0.880305,0.349860,0.756891,1.437542,1.106515,1.297458,0.362214,1.828162,2.302349,2.409246,1.668847,0.415548,0.960721,0.469857,1.115390,1.488021
T7,5,1,2,0.987298,0.840208,2.039065,1.037132,1.271842,2.881257,1.574030,1.427401,2.535809,1.464444,1.586957,1.123542,0.332335,0.755459,1.304081,1.001860,1.659093,0.448213,2.117803,2.775209,2.038749,1.281932,0.632958,1.074842,0.567861,1.121120,1.191981
T7,8,1,2,0.938984,0.778090,2.298736,0.976146,1.443917,3.105585,2.271459,1.824648,4.726238,3.749777,1.433047,1.125246,0.303832,0.669259,1.511447,1.056576,1.154686,0.299064,1.900300,2.359563,2.669108,1.628228,0.441397,0.866970,0.438748,1.552438,1.472831
T7,9,1,2,1.130093,0.921360,1.901428,1.388090,1.457952,3.006995,1.938182,1.308348,2.957915,2.407557,1.570933,1.308463,0.423167,0.734482,1.519814,1.102373,1.396744,0.480531,2.042964,2.750826,2.420350,1.627819,0.682406,1.148447,0.691960,1.460103,1.389069
T7,10,1,2,1.723520,0.847080,1.737277,1.647288,1.330361,2.607372,2.380118,1.295766,3.794869,2.250936,1.659190,0.983714,0.446937,0.975628,1.313815,1.243854,1.384532,0.612360,2.012194,1.859819,2.779986,1.447194,0.645536,0.949218,0.713411,1.903223,1.484835
T7,11,1,2,1.301439,0.761363,2.107634,1.393062,1.371973,2.822587,2.704290,1.688245,5.168513,3.214138,1.452613,0.830110,0.325422,0.814058,1.308082,1.240377,1.137676,0.439427,1.813513,1.989580,2.883388,1.543452,0.380519,0.785589,0.442742,2.058153,1.500165
