channel,freq,C1,C2,
F3,5,1,2
F3,9,1,2
F3,14,1,2
F3,15,1,2
F3,19,1,2
F3,24,1,2
F3,33,1,2
F3,38,1,2
F3,43,1,2
F3,47,1,2
F3,52,1,2
F3,57,1,2
FC5,9,1,2
FC5,19,1,2
FC5,28,1,2
FC5,29,1,2
FC5,33,1,2
FC5,38,1,2
FC5,43,1,2
FC5,52,1,2
FC5,57,1,2
AF3,9,1,2
AF3,10,1,2
AF3,29,1,2
F7,8,1,2
F7,9,1,2
F7,10,1,2
F7,20,1,2
F7,21,1,2
F7,22,1,2
F7,23,1,2
F7,27,1,2
F7,28,1,2
T7,6,1,2
T7,9,1,2
T7,10,1,2
T7,11,1,2
T7,12,1,2
T7,13,1,2
T7,14,1,2
T7,15,1,2
T7,16,1,2
T7,17,1,2
T7,18,1,2
T7,19,1,2
T7,20,1,2
T7,21,1,2
T7,22,1,2
T7,23,1,2
T7,25,1,2
T7,26,1,2
T7,27,1,2
T7,28,1,2
T7,29,1,2
T7,30,1,2
T7,31,1,2
T7,32,1,2
T7,34,1,2
T7,35,1,2
T7,36,1,2
T7,37,1,2
T7,38,1,2
T7,39,1,2
T7,40,1,2
T7,41,1,2
T7,42,1,2
T7,43,1,2
T7,44,1,2
T7,45,1,2
T7,46,1,2
T7,47,1,2
T7,48,1,2
T7,52,1,2
T7,57,1,2
T7,62,1,2
O1,2,1,2
O1,3,1,2
O1,4,1,2
O1,5,1,2
O1,9,1,2
O1,10,1,2
O1,11,1,2
O1,12,1,2
O1,15,1,2
O1,16,1,2
O1,17,1,2
O1,18,1,2
O1,24,1,2
O1,25,1,2
O1,26,1,2
O1,39,1,2
O1,40,1,2
O1,41,1,2
O1,44,1,2
O1,45,1,2
O1,46,1,2
O1,49,1,2
O1,50,1,2
O1,51,1,2
O1,53,1,2
O1,54,1,2
O1,55,1,2
O1,56,1,2
O1,58,1,2
O1,59,1,2
O1,60,1,2
O1,61,1,2
O1,63,1,2
O2,0,1,2
O2,1,1,2
O2,2,1,2
O2,3,1,2
O2,4,1,2
O2,5,1,2
O2,6,1,2
O2,7,1,2
