channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
AF3,9,1,2,1.292445,1.282611,1.603049,1.525024,1.486505,0.930335,2.159126,0.932440,1.409294,1.840914,1.371083,0.946063,1.037440,1.339597,0.823870,1.487884,1.422187,0.845669,0.765161,1.353018,1.029981,1.217776,1.021211,1.526060,1.185311,0.826551,0.875815
AF3,10,1,2,1.373757,0.924750,1.719474,1.584855,1.974370,1.520386,2.300069,0.792705,1.095679,1.059779,1.343990,1.010206,0.828095,1.090634,1.240675,1.245601,1.029524,1.016931,0.867413,1.168613,0.984910,1.349816,1.197682,1.291115,0.968980,0.907084,0.916688
AF3,29,1,2,1.147919,2.230745,1.444539,0.842247,2.393176,1.162983,1.910045,0.937091,2.082432,1.036810,1.288775,1.231913,0.881262,1.071336,1.392625,1.180180,0.981686,0.775241,1.263629,1.189230,1.553518,1.453880,1.146939,1.904194,0.883132,0.789908,1.595502
F7,8,1,2,1.267842,1.144826,2.600937,1.404435,1.079754,6.480527,2.109691,1.261190,4.133992,1.699437,1.554140,1.204468,0.411732,1.214427,1.008215,1.664999,1.243538,0.492785,1.823647,1.348698,1.208386,2.160201,0.560691,1.618386,0.536318,1.131584,0.871880
F7,9,1,2,1.114505,0.959715,1.143967,1.851417,1.337162,2.534317,2.130802,1.071802,1.961459,1.574762,1.162015,1.338668,0.776799,1.425869,0.830609,1.468326,1.205253,0.655904,1.495170,1.197912,0.963636,1.484884,0.835399,1.487969,1.004404,1.327347,1.077129
F7,10,1,2,1.572644,1.039838,0.944827,1.735565,0.792758,2.987330,2.645974,0.767948,2.348593,1.478779,1.432470,1.172452,0.812602,1.102702,1.015552,1.700353,1.472028,0.910893,1.363450,1.003114,0.569882,1.094454,1.145991,1.209562,0.905879,1.389822,0.940135
F7,20,1,2,1.137332,1.218662,2.068391,0.878997,0.889623,6.724470,1.760293,1.249572,4.211908,1.047279,1.789185,0.834153,0.501426,0.804023,1.455549,0.835033,1.299363,0.675320,1.659736,1.059768,1.453099,1.681511,0.650147,2.955863,0.599441,1.137307,1.440984
F7,21,1,2,1.273703,1.251794,2.720371,0.881213,0.832341,6.726016,2.952306,1.352535,5.578371,1.186121,1.870559,0.822844,0.376303,0.733433,1.726663,1.015539,1.159080,0.721024,1.637500,1.516650,1.658817,1.857608,0.589566,2.590973,0.521175,1.301778,1.744390
F7,22,1,2,1.253589,1.241127,2.514926,0.864707,0.800279,5.949468,2.606496,1.245030,4.335385,1.343859,1.701691,0.871625,0.365812,0.704726,2.070454,1.001227,1.140348,0.763236,1.536825,1.484433,1.753195,1.809401,0.584570,2.290731,0.537098,1.259653,1.805731
F7,23,1,2,0.974191,1.160582,1.341556,1.023292,0.749998,4.297275,1.126970,1.036687,2.589772,1.732048,1.374009,1.184210,0.717429,0.816972,1.067078,0.964602,1.303310,0.781118,1.242396,1.366696,1.650790,1.480242,0.865990,1.904052,1.033396,1.401303,1.065162
F7,27,1,2,1.039795,1.579633,2.472548,1.359167,0.806629,6.215449,1.753667,1.060939,3.649368,1.254601,1.746406,0.852885,0.348005,0.669304,1.558328,1.047477,1.100559,1.161634,1.473859,1.349911,1.202663,2.045681,0.571841,2.552143,0.550251,1.261187,1.910601
F7,28,1,2,1.262150,1.694872,1.212605,1.336199,1.153078,4.093970,1.108467,0.962620,1.558811,1.476981,0.803170,1.189500,0.773008,1.389064,1.150519,0.832015,0.683934,0.668469,1.628043,1.255698,1.350811,1.940812,0.944020,1.576234,1.143939,1.517640,1.018013
T7,6,1,2,0.953115,1.422943,1.343516,1.364948,1.273173,2.699418,1.422183,1.219387,5.965548,3.979883,2.090575,1.108077,0.188920,0.392703,1.261466,1.002721,1.329132,0.160416,2.810783,4.740802,4.714144,2.020113,0.451866,1.997812,0.415279,1.240908,1.932357
